age,height,weight,total
26,2.08,102,1
29,2.02,100,1
27,1.99,99,1
28,1.82,65,1
28,2.09,93,1
26,1.88,81,1
28,1.86,72,1
29,2.05,90,1
27,1.93,72,1
23,1.98,88,1
24,1.95,79,1
28,2.07,94,1
27,1.84,83,1
26,1.85,75,1
34,1.94,79,1
26,1.91,72,1
25,1.92,78,1
30,1.85,82,1
34,2.03,105,1
31,2.01,86,1
25,1.9,83,1
35,2.07,103,1
30,1.88,79,1
27,1.98,90,1
34,1.86,74,1
30,1.81,70,1
30,1.88,75,1
41,1.84,78,1
22,1.87,74,1
27,2.02,99,1
30,1.9,76,1
24,1.71,70,1
32,1.7,66,1
22,1.9,71,1
33,2.06,100,1
20,1.98,92,1
21,1.99,75,1
26,1.9,76,1
30,1.85,85,1
25,2,95,1
30,2.09,101,1
33,2.05,107,1
28,1.96,82,1
29,1.92,74,1
32,1.96,89,1
24,1.92,72,1
25,1.98,98,1
24,1.96,80,1
27,1.8,75,1
28,2.04,100,1
32,1.83,67,1
23,1.98,84,1
19,1.93,82,1
25,1.85,78,1
22,1.95,78,1
29,1.91,79,1
28,1.84,72,1
29,1.77,66,1
31,2.03,102,1
28,1.98,88,1
25,1.93,83,1
31,2,85,1
29,1.98,87,1
37,1.85,78,1
39,1.94,89,1
26,1.8,67,1
19,1.86,72,1
26,1.88,70,1
20,2.01,78,1
33,1.82,70,1
35,2.02,95,1
23,1.93,75,1
29,1.9,79,1
27,1.78,75,1
28,2.04,100,1
37,1.86,73,1
27,1.88,79,1
24,1.88,75,1
31,1.8,75,1
38,1.88,72,1
29,1.95,75,1
21,1.93,79,1
23,2.05,98,1
29,1.77,72,0
32,1.86,78,0
25,1.9,88,0
26,2.1,105,0
27,1.81,66,0
24,1.98,95,0
26,1.96,90,0
31,1.93,76,0
27,1.97,88,0
22,1.88,72,0
27,1.97,73,0
25,1.89,82,0
30,1.81,75,0
27,1.92,68,0
27,2.03,94,0
34,1.95,98,0
22,1.76,59,0
30,2.08,106,0
32,1.72,64,0
28,1.86,87,0
27,2.05,97,0
29,1.85,99,0
29,1.87,80,0
32,1.68,57,0
31,1.98,98,0
22,1.77,61,0
24,1.82,79,0
29,1.71,65,0
25,1.85,78,0
24,1.69,67,0
28,2.03,97,0
25,1.76,65,0
36,1.73,57,0
27,1.9,72,0
25,1.98,86,0
22,1.9,76,0
21,1.9,84,0
25,1.96,78,0
34,1.78,67,0
40,2.01,95,0
20,1.78,66,0
31,1.72,64,0
29,1.91,89,0
31,1.82,74,0
33,1.86,71,0
27,1.98,89,0
19,2,84,0
27,1.94,94,0
27,1.8,86,0
26,1.88,85,0
23,1.86,75,0
23,1.97,88,0
36,1.9,82,0
33,1.71,63,0
25,1.9,72,0
27,2.01,95,0
25,1.88,80,0
35,1.86,80,0
32,2.06,97,0
23,2,100,0
33,1.84,70,0
25,1.75,72,0
35,1.96,99,0
29,1.97,96,0
36,1.83,72,0
27,1.87,73,0
27,1.9,74,0
28,2,102,0
25,1.73,66,0
31,1.73,59,0
31,1.92,76,0
28,1.79,66,0
27,2.01,87,0
26,2,85,0
27,2.09,98,0
26,1.79,67,0
27,2.1,101,0
31,2.04,96,0
26,1.59,57,0
29,1.88,68,0
23,1.84,80,0
34,1.74,70,0
26,1.92,83,0
26,1.84,70,0
34,1.88,75,0
31,1.69,58,0
31,1.86,70,0
29,1.78,75,0
22,2.01,96,0
26,1.92,77,0
35,1.83,72,0
25,1.95,92,0
28,1.91,98,0
28,1.88,74,0
27,1.83,75,0
30,1.72,69,0
33,1.76,62,0
27,2.07,90,0
27,1.96,92,0
28,1.8,68,0
23,1.74,70,0
34,1.8,92,0
30,1.92,83,0
28,1.8,68,0
30,1.99,97,0
28,1.78,68,0
26,1.8,58,0
25,1.97,94,0
32,1.87,80,0
22,2.1,98,0
25,2.06,86,0
28,2.02,103,0
32,1.91,96,0
28,1.91,80,0
19,1.89,75,0
23,1.96,78,0
31,1.89,81,0
25,1.79,68,0
28,1.9,76,0
22,2.11,105,0
30,1.84,71,0
25,2.05,88,0
29,1.74,67,0
27,1.73,62,0
23,1.64,62,0
29,2.04,85,0
21,1.84,80,0
28,1.83,70,0
18,1.8,71,0
35,1.82,63,0
31,1.72,65,0
29,1.65,62,0
27,1.84,76,0
27,1.7,61,0
27,1.94,75,0
24,1.92,84,0
24,2,91,0
37,1.86,83,0
27,1.87,85,0
29,1.98,93,0
24,2.06,115,0
23,1.91,75,0
31,2.04,90,0
22,2,81,0
24,1.63,55,0
33,1.8,66,0
25,1.91,104,0
20,2.02,90,0
19,1.95,83,0
27,2.02,85,0
34,1.93,88,0
18,1.9,70,0
27,1.81,74,0
26,1.84,73,0
28,1.92,85,0
30,1.94,90,0
36,2.06,92,0
32,1.86,90,0
24,2,90,0
29,2.05,90,0
31,1.89,75,0
29,1.94,81,0
22,1.73,73,0
40,1.94,87,0
30,1.9,78,0
26,1.9,80,0
25,1.92,80,0
33,1.85,87,0
27,1.98,88,0
27,2,89,0
26,1.95,80,0
30,1.85,65,0
29,1.75,63,0
30,1.96,70,0
25,2,94,0
29,1.87,63,0
31,1.95,96,0
41,1.97,89,0
26,1.95,99,0
29,2.03,86,0
28,1.98,95,0
24,1.73,68,0
33,1.85,65,0
30,1.78,65,0
25,1.78,69,0
26,1.79,56,0
29,1.84,78,0
27,1.93,87,0
29,1.87,68,0
24,1.84,68,0
34,1.81,64,0
25,1.82,70,0
28,1.91,67,0
30,1.78,64,0
29,1.96,75,0
24,1.82,78,0
23,1.93,85,0
28,2.02,95,0
22,1.99,89,0
25,1.91,81,0
30,1.8,73,0
25,1.95,90,0
31,1.77,79,0
31,1.8,63,0
31,1.84,75,0
27,1.85,71,0
28,1.78,62,0
28,1.92,73,0
19,1.84,78,0
23,1.83,78,0
27,1.82,66,0
28,1.96,85,0
30,1.77,63,0
29,1.82,72,0
25,1.8,68,0
23,1.76,58,0
23,1.88,74,0
27,2.1,88,0
27,1.8,67,0
30,1.95,88,0
30,1.87,65,0
18,1.91,80,0
29,1.93,89,0
28,1.82,83,0
27,1.88,89,0
32,1.97,87,0
28,1.94,92,0
25,1.97,80,0
31,1.96,98,0
25,1.84,68,0
18,1.8,74,0
29,2,94,0
34,1.86,88,0
31,1.79,64,0
31,2.1,90,0
32,1.89,75,0
34,1.83,79,0
35,1.84,85,0
25,2.02,90,0
30,1.73,66,0
26,1.92,69,0
33,2.02,105,0
20,1.95,75,0
26,1.75,59,0
25,1.9,73,0
24,1.85,70,0
36,1.8,75,0
30,2,102,0
27,1.64,52,0
34,1.88,80,0
26,2.08,96,0
41,1.86,86,0
34,1.8,63,0
30,1.95,91,0
26,1.8,79,0
22,2.01,84,0
28,2.05,87,0
24,1.9,88,0
28,2,92,0
27,1.83,73,0
24,1.83,76,0
28,1.84,84,0
24,1.82,75,0
28,1.86,78,0
30,1.73,69,0
20,1.98,87,0
35,1.96,95,0
36,1.99,88,0
21,1.9,90,0
30,1.95,88,0
21,1.94,77,0
29,1.94,93,0
27,1.84,80,0
26,2.11,104,0
27,1.74,67,0
36,1.99,85,0
27,1.95,94,0
22,1.95,73,0
21,1.85,65,0
26,2.07,98,0
30,1.97,94,0
31,1.83,71,0
22,2.02,82,0
34,2.02,90,0
27,1.98,93,0
32,1.84,68,0
31,1.66,61,0
33,1.92,82,0
23,1.91,80,0
21,2.01,88,0
36,1.94,96,0
25,1.94,101,0
21,2.08,93,0
29,1.8,62,0
26,1.78,64,0
39,1.78,69,0
37,1.71,67,0
29,1.81,68,0
19,1.9,65,0
